"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)"
"22:36:53:896","84752234018566","   1.005","  10.656"," 4800"," 4700"," 4900"," 5200","  47.452","  47.690","  13.247","  45.424","  45.652","  12.681"," 53","0"," 36"," 57","   1.603","   1.611","   0.448"," 125.000"
"22:36:54:904","84755862270270","   2.013","   9.962"," 4800"," 4700"," 4900"," 5200","  45.732","  93.780","  26.050","  43.740","  89.735","  24.927"," 54","0"," 34"," 57","   1.544","   3.168","   0.880"," 125.000"
"22:36:55:908","84759478415692","   3.017","   9.965"," 4800"," 4700"," 4900"," 5200","  45.789"," 139.774","  38.826","  43.765"," 133.697","  37.138"," 54","0"," 35"," 58","   1.561","   4.736","   1.315"," 125.000"

"Total Elapsed Time (sec) = 3.017347"
"Measured RDTSC Frequency (GHz) = 3.600"

"Cumulative Package Energy_0 (Joules) = 139.774048"
"Cumulative Package Energy_0 (mWh) = 38.826124"
"Average Package Power_0 (Watt) = 46.323490"

"Cumulative IA Energy_0 (Joules) = 133.697083"
"Cumulative IA Energy_0 (mWh) = 37.138078"
"Average Package IA_0 (Watt) = 44.309481"

"Cumulative DRAM Energy_0 (Joules) = 4.735535"
"Cumulative DRAM Energy_0 (mWh) = 1.315426"
"Average Package DRAM_0 (Watt) = 1.569437"
